Country Name,Country Code,Series Name,Series Code,2020 _YR2020_,2021 _YR2021_,2022 _YR2022_,2023 _YR2023_,2024 _YR2024_
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: Population estimates and projections,,,,,,,,
Last Updated: 12/16/2024,,,,,,,,
Canada,CAN,"Population, female",SP.POP.TOTL.FE.IN,19135365,19240905,19598191,20185580,20384623
Cayman Islands,CYM,"Population, female",SP.POP.TOTL.FE.IN,34171,34865,35622,36362,37082
Central African Republic,CAF,"Population, female",SP.POP.TOTL.FE.IN,2581797,2628853,2641776,2684793,2772728
Chad,TCD,"Population, female",SP.POP.TOTL.FE.IN,8582450,8883575,9196578,9627875,10117765
Channel Islands,CHI,"Population, female",SP.POP.TOTL.FE.IN,84074,84339,84597,84865,85111
Chile,CHL,"Population, female",SP.POP.TOTL.FE.IN,9737386,9783967,9835064,9888681,9941322
China,CHN,"Population, female",SP.POP.TOTL.FE.IN,690313465,691353011,691718700,691540464,690550915
Colombia,COL,"Population, female",SP.POP.TOTL.FE.IN,25616896,25914903,26204251,26502596,26791092
Comoros,COM,"Population, female",SP.POP.TOTL.FE.IN,398640,406650,414630,422690,430813
"Congo, Dem. Rep.",COD,"Population, female",SP.POP.TOTL.FE.IN,48373399,49963807,51598667,53305848,55059433
"Congo, Rep.",COG,"Population, female",SP.POP.TOTL.FE.IN,2876271,2946115,3017640,3091656,3166866
Costa Rica,CRI,"Population, female",SP.POP.TOTL.FE.IN,2543508,2557639,2569726,2582392,2595182
Cote d'Ivoire,CIV,"Population, female",SP.POP.TOTL.FE.IN,14147956,14518035,14903156,15296021,15687549
Croatia,HRV,"Population, female",SP.POP.TOTL.FE.IN,2028487,2009887,1997208,1998511,1983490
Cuba,CUB,"Population, female",SP.POP.TOTL.FE.IN,5646057,5624501,5598475,5580991,5562903
Curacao,CUW,"Population, female",SP.POP.TOTL.FE.IN,81310,79918,78666,77532,77535
Cyprus,CYP,"Population, female",SP.POP.TOTL.FE.IN,645595,653366,660545,667374,674034
Czechia,CZE,"Population, female",SP.POP.TOTL.FE.IN,5424401,5326877,5410575,5507052,5449473
Denmark,DNK,"Population, female",SP.POP.TOTL.FE.IN,2930630,2942923,2967128,2990995,3002778
Djibouti,DJI,"Population, female",SP.POP.TOTL.FE.IN,556871,565118,573238,581342,589409
Dominica,DMA,"Population, female",SP.POP.TOTL.FE.IN,33673,33492,33328,33212,33103
Dominican Republic,DOM,"Population, female",SP.POP.TOTL.FE.IN,5527357,5588247,5644520,5696732,5746363
Ecuador,ECU,"Population, female",SP.POP.TOTL.FE.IN,8786064,8860886,8935072,9015132,9094348
"Egypt, Arab Rep.",EGY,"Population, female",SP.POP.TOTL.FE.IN,54121571,54930870,55751050,56705185,57698113
El Salvador,SLV,"Population, female",SP.POP.TOTL.FE.IN,3271804,3283657,3296919,3312439,3327460
Equatorial Guinea,GNQ,"Population, female",SP.POP.TOTL.FE.IN,807749,828870,850861,872672,894768
Eritrea,ERI,"Population, female",SP.POP.TOTL.FE.IN,1668948,1698263,1727642,1757866,1790250
Estonia,EST,"Population, female",SP.POP.TOTL.FE.IN,699591,699762,708704,719434,711650
Eswatini,SWZ,"Population, female",SP.POP.TOTL.FE.IN,607657,614424,620583,626490,632631
Ethiopia,ETH,"Population, female",SP.POP.TOTL.FE.IN,59291103,60910800,62543054,64205530,65892477
Faroe Islands,FRO,"Population, female",SP.POP.TOTL.FE.IN,25379,25719,26024,26304,26661
Fiji,FJI,"Population, female",SP.POP.TOTL.FE.IN,460290,461603,463155,465493,467811
Finland,FIN,"Population, female",SP.POP.TOTL.FE.IN,2798495,2802531,2809620,2824431,2828501
France,FRA,"Population, female",SP.POP.TOTL.FE.IN,34855924,34973992,35081787,35189170,35233547
French Polynesia,PYF,"Population, female",SP.POP.TOTL.FE.IN,137680,138084,138442,138862,139277
Gabon,GAB,"Population, female",SP.POP.TOTL.FE.IN,1139821,1167434,1195005,1222547,1250207
"Gambia, The",GMB,"Population, female",SP.POP.TOTL.FE.IN,1263752,1293829,1323973,1354585,1385654
Georgia,GEO,"Population, female",SP.POP.TOTL.FE.IN,1989234,1981454,1982788,1983955,1983582
Germany,DEU,"Population, female",SP.POP.TOTL.FE.IN,42100629,42124059,42428700,42160349,41993051
Ghana,GHA,"Population, female",SP.POP.TOTL.FE.IN,15953563,16271078,16588340,16910369,17233172
Gibraltar,GIB,"Population, female",SP.POP.TOTL.FE.IN,18158,18513,18895,19326,19754
Greece,GRC,"Population, female",SP.POP.TOTL.FE.IN,5513797,5448694,5382141,5365598,5272876
Greenland,GRL,"Population, female",SP.POP.TOTL.FE.IN,26631,26780,26802,26929,..
Grenada,GRD,"Population, female",SP.POP.TOTL.FE.IN,57791,58008,58178,58334,58452
Guam,GUM,"Population, female",SP.POP.TOTL.FE.IN,79708,80573,81362,82090,82789
Guatemala,GTM,"Population, female",SP.POP.TOTL.FE.IN,8743331,8868626,8996408,9135826,9277168
Guinea,GIN,"Population, female",SP.POP.TOTL.FE.IN,6778437,6943925,7111822,7282935,7453518
Guinea-Bissau,GNB,"Population, female",SP.POP.TOTL.FE.IN,1020125,1042725,1065850,1089544,1113342
Guyana,GUY,"Population, female",SP.POP.TOTL.FE.IN,413269,417833,421266,423896,426503
Haiti,HTI,"Population, female",SP.POP.TOTL.FE.IN,5668475,5737335,5805291,5875810,5947201
Honduras,HND,"Population, female",SP.POP.TOTL.FE.IN,5021043,5107017,5194476,5285151,5375736
"Hong Kong SAR, China",HKG,"Population, female",SP.POP.TOTL.FE.IN,4102464,4068311,4032283,4138892,4120805
Hungary,HUN,"Population, female",SP.POP.TOTL.FE.IN,5077743,5054636,5018394,4989346,4972060
Iceland,ISL,"Population, female",SP.POP.TOTL.FE.IN,178499,181612,186312,191955,194489
India,IND,"Population, female",SP.POP.TOTL.FE.IN,678442228,684279793,689891756,696186332,702612364
Indonesia,IDN,"Population, female",SP.POP.TOTL.FE.IN,136741617,137726598,138760035,139934300,141080015
"Iran, Islamic Rep.",IRN,"Population, female",SP.POP.TOTL.FE.IN,43070948,43449371,43995100,44547105,45035681
Iraq,IRQ,"Population, female",SP.POP.TOTL.FE.IN,21017026,21484495,21971026,22459934,22930934
Ireland,IRL,"Population, female",SP.POP.TOTL.FE.IN,2516845,2541196,2608057,2680077,2708104
Isle of Man,IMN,"Population, female",SP.POP.TOTL.FE.IN,42401,42436,42457,42482,42494
Israel,ISR,"Population, female",SP.POP.TOTL.FE.IN,4635463,4711795,4802918,4900697,4966580
Italy,ITA,"Population, female",SP.POP.TOTL.FE.IN,30440455,30270742,30199743,30178166,30056814
Jamaica,JAM,"Population, female",SP.POP.TOTL.FE.IN,1428803,1432859,1434156,1435044,1435209
Japan,JPN,"Population, female",SP.POP.TOTL.FE.IN,64578063,64301379,64036315,63745563,63391659
Jordan,JOR,"Population, female",SP.POP.TOTL.FE.IN,5246935,5348302,5443973,5535962,5595499
Kazakhstan,KAZ,"Population, female",SP.POP.TOTL.FE.IN,10029218,10142525,10286157,10433061,10562665
Kenya,KEN,"Population, female",SP.POP.TOTL.FE.IN,26233737,26746066,27271918,27821991,28376872
Kiribati,KIR,"Population, female",SP.POP.TOTL.FE.IN,65240,66336,67337,68299,69239
"Korea, Dem. People's Rep.",PRK,"Population, female",SP.POP.TOTL.FE.IN,13250754,13289964,13326404,13360198,13390106
"Korea, Rep.",KOR,"Population, female",SP.POP.TOTL.FE.IN,25943918,25932664,25886778,25898790,25862173
Kosovo,XKX,"Population, female",SP.POP.TOTL.FE.IN,909319,907378,898350,892445,886426
Kuwait,KWT,"Population, female",SP.POP.TOTL.FE.IN,1718722,1715490,1787462,1885194,1926815
Kyrgyz Republic,KGZ,"Population, female",SP.POP.TOTL.FE.IN,3397273,3462155,3526047,3589460,3646526
Lao PDR,LAO,"Population, female",SP.POP.TOTL.FE.IN,3652811,3706725,3759858,3813122,3865785
Latvia,LVA,"Population, female",SP.POP.TOTL.FE.IN,1022507,1013110,1009582,1007833,998495
Lebanon,LBN,"Population, female",SP.POP.TOTL.FE.IN,2932378,2940407,2953396,2966891,2982328
Lesotho,LSO,"Population, female",SP.POP.TOTL.FE.IN,1147923,1160865,1173128,1185745,1198531
Liberia,LBR,"Population, female",SP.POP.TOTL.FE.IN,2581798,2636157,2692480,2751688,2810925
Libya,LBY,"Population, female",SP.POP.TOTL.FE.IN,3457415,3504230,3549925,3591018,3628053
Liechtenstein,LIE,"Population, female",SP.POP.TOTL.FE.IN,19601,19737,19886,20058,20189
Lithuania,LTU,"Population, female",SP.POP.TOTL.FE.IN,1486173,1484266,1498514,1517536,1507628
Luxembourg,LUX,"Population, female",SP.POP.TOTL.FE.IN,313203,317795,324321,331083,334771
"Macao SAR, China",MAC,"Population, female",SP.POP.TOTL.FE.IN,366920,366127,364046,365681,362549
Madagascar,MDG,"Population, female",SP.POP.TOTL.FE.IN,14429564,14797988,15170358,15549002,15932427
Malawi,MWI,"Population, female",SP.POP.TOTL.FE.IN,10011613,10272771,10537752,10809386,11088242
Malaysia,MYS,"Population, female",SP.POP.TOTL.FE.IN,16067734,16273730,16491015,16716229,16939879
Maldives,MDV,"Population, female",SP.POP.TOTL.FE.IN,192637,195678,197920,199376,200994
Mali,MLI,"Population, female",SP.POP.TOTL.FE.IN,10752863,11088185,11428053,11774460,12127823
Malta,MLT,"Population, female",SP.POP.TOTL.FE.IN,248470,249315,255598,265910,268863
Marshall Islands,MHL,"Population, female",SP.POP.TOTL.FE.IN,20830,20174,19538,18924,18311
Mauritania,MRT,"Population, female",SP.POP.TOTL.FE.IN,2350013,2417259,2487363,2560475,2633669
Mauritius,MUS,"Population, female",SP.POP.TOTL.FE.IN,630870,631390,630337,630733,630580
Mexico,MEX,"Population, female",SP.POP.TOTL.FE.IN,65163578,65668355,66211396,66813627,67401427
"Micronesia, Fed. Sts.",FSM,"Population, female",SP.POP.TOTL.FE.IN,55729,56107,56375,56655,56943
Moldova,MDA,"Population, female",SP.POP.TOTL.FE.IN,1419764,1399856,1364474,1326593,1308621
Monaco,MCO,"Population, female",SP.POP.TOTL.FE.IN,19426,19652,19859,19887,19731
Mongolia,MNG,"Population, female",SP.POP.TOTL.FE.IN,1663059,1692787,1719168,1744331,1767520
Montenegro,MNE,"Population, female",SP.POP.TOTL.FE.IN,322163,321247,320255,319669,318616
Morocco,MAR,"Population, female",SP.POP.TOTL.FE.IN,18112440,18301045,18491547,18689276,18879151
Mozambique,MOZ,"Population, female",SP.POP.TOTL.FE.IN,15887255,16353471,16832437,17327861,17829684
Myanmar,MMR,"Population, female",SP.POP.TOTL.FE.IN,26585323,26780850,26977460,27177563,27371250
Namibia,NAM,"Population, female",SP.POP.TOTL.FE.IN,1398226,1439149,1478744,1515985,1550325
Nauru,NRU,"Population, female",SP.POP.TOTL.FE.IN,5703,5745,5791,5827,5864
Nepal,NPL,"Population, female",SP.POP.TOTL.FE.IN,15024010,15234961,15370175,15415381,15450778
Netherlands,NLD,"Population, female",SP.POP.TOTL.FE.IN,8786981,8830353,8911982,8997851,9055430
New Caledonia,NCL,"Population, female",SP.POP.TOTL.FE.IN,143754,144458,145532,146908,148286
New Zealand,NZL,"Population, female",SP.POP.TOTL.FE.IN,2563368,2573836,2576093,2628620,2646982
Nicaragua,NIC,"Population, female",SP.POP.TOTL.FE.IN,3337270,3378214,3421642,3468026,3514183
Niger,NER,"Population, female",SP.POP.TOTL.FE.IN,11675856,12062154,12460549,12877706,13307084
Nigeria,NGA,"Population, female",SP.POP.TOTL.FE.IN,105897424,108111257,110366192,112676013,115005707
North Macedonia,MKD,"Population, female",SP.POP.TOTL.FE.IN,952111,943403,940844,938871,934030
Northern Mariana Islands,MNP,"Population, female",SP.POP.TOTL.FE.IN,22541,22262,21812,21345,20899
Norway,NOR,"Population, female",SP.POP.TOTL.FE.IN,2666588,2680009,2705700,2738457,2763566
Oman,OMN,"Population, female",SP.POP.TOTL.FE.IN,1713756,1749460,1818526,1914778,1995709
Pakistan,PAK,"Population, female",SP.POP.TOTL.FE.IN,115047726,117358452,119632267,121773246,123835758
Palau,PLW,"Population, female",SP.POP.TOTL.FE.IN,8176,8182,8180,8172,8165
Panama,PAN,"Population, female",SP.POP.TOTL.FE.IN,2144479,2171401,2199575,2228887,2257573
Papua New Guinea,PNG,"Population, female",SP.POP.TOTL.FE.IN,4747803,4848513,4946016,5041654,5137279
Paraguay,PRY,"Population, female",SP.POP.TOTL.FE.IN,3286865,3329042,3368932,3411748,3455037
Peru,PER,"Population, female",SP.POP.TOTL.FE.IN,16482005,16657801,16823640,17010174,17200284
Philippines,PHL,"Population, female",SP.POP.TOTL.FE.IN,56175775,56681259,57115091,57580382,58059563
Poland,POL,"Population, female",SP.POP.TOTL.FE.IN,19512222,19050967,18975738,18908458,18740703
Portugal,PRT,"Population, female",SP.POP.TOTL.FE.IN,5405235,5430708,5463636,5539155,5532072
Puerto Rico,PRI,"Population, female",SP.POP.TOTL.FE.IN,1730699,1722665,1701672,1695235,1693349
Qatar,QAT,"Population, female",SP.POP.TOTL.FE.IN,779300,705826,748117,756537,782667
Romania,ROU,"Population, female",SP.POP.TOTL.FE.IN,9931477,9858388,9822455,9827799,9775928
Russian Federation,RUS,"Population, female",SP.POP.TOTL.FE.IN,77792851,77505719,77230340,77040679,76709822
Rwanda,RWA,"Population, female",SP.POP.TOTL.FE.IN,6709518,6854356,7001645,7152063,7301809
Samoa,WSM,"Population, female",SP.POP.TOTL.FE.IN,105251,106258,106942,107591,108225
San Marino,SMR,"Population, female",SP.POP.TOTL.FE.IN,17887,17567,17210,17213,17133
Sao Tome and Principe,STP,"Population, female",SP.POP.TOTL.FE.IN,109133,111464,113700,116054,118458
Saudi Arabia,SAU,"Population, female",SP.POP.TOTL.FE.IN,12340509,12087819,12633809,13088104,13363593
Senegal,SEN,"Population, female",SP.POP.TOTL.FE.IN,8290197,8482181,8674926,8879764,9096833
Serbia,SRB,"Population, female",SP.POP.TOTL.FE.IN,3612250,3578623,3493763,3477760,3457749
Seychelles,SYC,"Population, female",SP.POP.TOTL.FE.IN,44526,44723,53843,53680,54777
Sierra Leone,SLE,"Population, female",SP.POP.TOTL.FE.IN,3968363,4058933,4149726,4241460,4332051
Singapore,SGP,"Population, female",SP.POP.TOTL.FE.IN,2742212,2634886,2723972,2858818,2878637
Sint Maarten (Dutch part),SXM,"Population, female",SP.POP.TOTL.FE.IN,21054,21292,21572,21915,22254
Slovak Republic,SVK,"Population, female",SP.POP.TOTL.FE.IN,2792564,2786819,2779322,2777110,2764366
Slovenia,SVN,"Population, female",SP.POP.TOTL.FE.IN,1047544,1050160,1051860,1055684,1054341
Solomon Islands,SLB,"Population, female",SP.POP.TOTL.FE.IN,363576,372519,381613,390932,400351
Somalia,SOM,"Population, female",SP.POP.TOTL.FE.IN,8309044,8617767,8882342,9160786,9486361
South Africa,ZAF,"Population, female",SP.POP.TOTL.FE.IN,31181202,31649230,32072567,32461907,32854235
South Sudan,SSD,"Population, female",SP.POP.TOTL.FE.IN,5434671,5519926,5599435,5834585,6069044
Spain,ESP,"Population, female",SP.POP.TOTL.FE.IN,24102549,24129935,24307494,24609249,24604754
Sri Lanka,LKA,"Population, female",SP.POP.TOTL.FE.IN,11304243,11429255,11445125,11373412,11438631
St. Kitts and Nevis,KNA,"Population, female",SP.POP.TOTL.FE.IN,24281,24280,24294,24350,24420
St. Lucia,LCA,"Population, female",SP.POP.TOTL.FE.IN,89863,90113,90348,90686,91001
St. Martin (French part),MAF,"Population, female",SP.POP.TOTL.FE.IN,16650,15912,15336,14658,13979
St. Vincent and the Grenadines,VCT,"Population, female",SP.POP.TOTL.FE.IN,50472,50257,49946,49658,49380
Sudan,SDN,"Population, female",SP.POP.TOTL.FE.IN,23565489,24214787,24882915,25221195,25436214
Suriname,SUR,"Population, female",SP.POP.TOTL.FE.IN,305402,308474,311399,314537,317505
Sweden,SWE,"Population, female",SP.POP.TOTL.FE.IN,5144095,5173965,5207363,5230587,5253394
Switzerland,CHE,"Population, female",SP.POP.TOTL.FE.IN,4352266,4383967,4419358,4474165,4495284
Syrian Arab Republic,SYR,"Population, female",SP.POP.TOTL.FE.IN,10528436,10818054,11233661,11799042,12331590
Tajikistan,TJK,"Population, female",SP.POP.TOTL.FE.IN,4973756,5080941,5186644,5288457,5386930
Tanzania,TZA,"Population, female",SP.POP.TOTL.FE.IN,30768333,31701548,32646077,33603791,34576910
Thailand,THA,"Population, female",SP.POP.TOTL.FE.IN,36601089,36686198,36730034,36752428,36772621
Timor-Leste,TLS,"Population, female",SP.POP.TOTL.FE.IN,656360,669265,679188,686512,694510
Togo,TGO,"Population, female",SP.POP.TOTL.FE.IN,4311314,4413810,4517484,4622682,4726032
Tonga,TON,"Population, female",SP.POP.TOTL.FE.IN,54564,54769,54891,55007,54962
Trinidad and Tobago,TTO,"Population, female",SP.POP.TOTL.FE.IN,691070,691550,690401,691204,693721
Tunisia,TUN,"Population, female",SP.POP.TOTL.FE.IN,6039342,6082035,6122300,6167026,6208686
Turkiye,TUR,"Population, female",SP.POP.TOTL.FE.IN,41670659,42082196,42526426,42719404,42836580
Turkmenistan,TKM,"Population, female",SP.POP.TOTL.FE.IN,3546701,3619307,3688063,3753089,3816376
Turks and Caicos Islands,TCA,"Population, female",SP.POP.TOTL.FE.IN,22123,22570,22884,23065,23244
Tuvalu,TUV,"Population, female",SP.POP.TOTL.FE.IN,5077,4981,4882,4795,4710
Uganda,UGA,"Population, female",SP.POP.TOTL.FE.IN,22437739,23163441,23862969,24533989,25209966
Ukraine,UKR,"Population, female",SP.POP.TOTL.FE.IN,23859257,23654574,21931325,20188500,20262170
United Arab Emirates,ARE,"Population, female",SP.POP.TOTL.FE.IN,3348343,3425770,3616601,3772859,3918788
United Kingdom,GBR,"Population, female",SP.POP.TOTL.FE.IN,34085589,34044290,34423876,34701323,34907344
United States,USA,"Population, female",SP.POP.TOTL.FE.IN,164794558,165091204,165751898,166628596,167541788
Uruguay,URY,"Population, female",SP.POP.TOTL.FE.IN,1750465,1749263,1746501,1745071,1744028
Uzbekistan,UZB,"Population, female",SP.POP.TOTL.FE.IN,16657925,16979564,17320246,17670093,18018147
Vanuatu,VUT,"Population, female",SP.POP.TOTL.FE.IN,147696,151286,154916,158611,162312
"Venezuela, RB",VEN,"Population, female",SP.POP.TOTL.FE.IN,14360362,14265712,14260990,14312346,14371684
Viet Nam,VNM,"Population, female",SP.POP.TOTL.FE.IN,50061601,50486603,50859448,51201223,51526287
Virgin Islands (U.S.),VIR,"Population, female",SP.POP.TOTL.FE.IN,54811,54830,54818,54775,54501
West Bank and Gaza,PSE,"Population, female",SP.POP.TOTL.FE.IN,2416909,2476124,2535941,2598445,2644123
"Yemen, Rep.",YEM,"Population, female",SP.POP.TOTL.FE.IN,17830293,18330840,18866431,19440467,20025126
Zambia,ZMB,"Population, female",SP.POP.TOTL.FE.IN,9626158,9900765,10179081,10467717,10764716
Zimbabwe,ZWE,"Population, female",SP.POP.TOTL.FE.IN,8156300,8291728,8426339,8559888,8705285
