Country Name,Country Code,Series Name,Series Code,2020 _YR2020_,2021 _YR2021_,2022 _YR2022_,2023 _YR2023_,2024 _YR2024_
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: Population estimates and projections,,,,,,,,
Last Updated: 12/16/2024,,,,,,,,
Dominican Republic,DOM,"Population, male",SP.POP.TOTL.MA.IN,5480943,5535229,5586214,5634533,5681194
Ecuador,ECU,"Population, male",SP.POP.TOTL.MA.IN,8760001,8821568,8888825,8964951,9041130
"Egypt, Arab Rep.",EGY,"Population, male",SP.POP.TOTL.MA.IN,55193553,56026138,56867200,57830587,58840145
El Salvador,SLV,"Population, male",SP.POP.TOTL.MA.IN,2962869,2972125,2983400,2997185,3010733
Equatorial Guinea,GNQ,"Population, male",SP.POP.TOTL.MA.IN,908719,929916,952684,974877,997748
Eritrea,ERI,"Population, male",SP.POP.TOTL.MA.IN,1622323,1651920,1681805,1712524,1745353
Estonia,EST,"Population, male",SP.POP.TOTL.MA.IN,629931,631170,640136,650852,645079
Eswatini,SWZ,"Population, male",SP.POP.TOTL.MA.IN,585072,592169,598334,604016,610191
Ethiopia,ETH,"Population, male",SP.POP.TOTL.MA.IN,59626568,61227788,62841233,64486162,66167290
Faroe Islands,FRO,"Population, male",SP.POP.TOTL.MA.IN,27192,27596,27928,28178,28504
Fiji,FJI,"Population, male",SP.POP.TOTL.MA.IN,454673,455108,456267,458652,460973
Finland,FIN,"Population, male",SP.POP.TOTL.MA.IN,2731048,2738486,2746486,2759480,2764375
France,FRA,"Population, male",SP.POP.TOTL.MA.IN,32745186,32868819,32983228,33098317,33152453
French Polynesia,PYF,"Population, male",SP.POP.TOTL.MA.IN,141529,141708,141936,142256,142530
Gabon,GAB,"Population, male",SP.POP.TOTL.MA.IN,1182718,1209288,1235742,1262242,1288745
"Gambia, The",GMB,"Population, male",SP.POP.TOTL.MA.IN,1251981,1282181,1312497,1343260,1374334
Georgia,GEO,"Population, male",SP.POP.TOTL.MA.IN,1733482,1727156,1729714,1731528,1731937
Germany,DEU,"Population, male",SP.POP.TOTL.MA.IN,41060242,41072019,41369285,41119651,40966589
Ghana,GHA,"Population, male",SP.POP.TOTL.MA.IN,15934246,16247587,16560812,16877545,17194242
Gibraltar,GIB,"Population, male",SP.POP.TOTL.MA.IN,18015,18345,18714,19145,19575
Greece,GRC,"Population, male",SP.POP.TOTL.MA.IN,5184802,5120513,5054741,5039990,4953569
Greenland,GRL,"Population, male",SP.POP.TOTL.MA.IN,29736,29873,29859,29936,..
Grenada,GRD,"Population, male",SP.POP.TOTL.MA.IN,58550,58680,58735,58747,58755
Guam,GUM,"Population, male",SP.POP.TOTL.MA.IN,82450,83157,83818,84416,84988
Guatemala,GTM,"Population, male",SP.POP.TOTL.MA.IN,8613994,8730024,8851469,8989012,9129191
Guinea,GIN,"Population, male",SP.POP.TOTL.MA.IN,6592746,6766588,6943315,7122533,7301267
Guinea-Bissau,GNB,"Population, male",SP.POP.TOTL.MA.IN,993130,1016116,1039679,1063795,1088010
Guyana,GUY,"Population, male",SP.POP.TOTL.MA.IN,394212,397649,400371,402457,404584
Haiti,HTI,"Population, male",SP.POP.TOTL.MA.IN,5575373,5637251,5698315,5761588,5825356
Honduras,HND,"Population, male",SP.POP.TOTL.MA.IN,5098597,5182860,5269396,5359700,5449967
"Hong Kong SAR, China",HKG,"Population, male",SP.POP.TOTL.MA.IN,3378536,3344789,3313817,3397208,3378130
Hungary,HUN,"Population, male",SP.POP.TOTL.MA.IN,4672406,4655255,4625983,4602840,4592879
Iceland,ISL,"Population, male",SP.POP.TOTL.MA.IN,187964,190908,195691,201394,204095
India,IND,"Population, male",SP.POP.TOTL.MA.IN,724175467,729924103,735531456,741883264,748323427
Indonesia,IDN,"Population, male",SP.POP.TOTL.MA.IN,138073249,139031455,140070494,141255767,142407916
"Iran, Islamic Rep.",IRN,"Population, male",SP.POP.TOTL.MA.IN,44652495,45006117,45529146,46061602,46532057
Iraq,IRQ,"Population, male",SP.POP.TOTL.MA.IN,21099579,21586716,22099525,22614115,23111081
Ireland,IRL,"Population, male",SP.POP.TOTL.MA.IN,2468537,2491968,2557643,2627523,2654679
Isle of Man,IMN,"Population, male",SP.POP.TOTL.MA.IN,41663,41670,41675,41683,41666
Israel,ISR,"Population, male",SP.POP.TOTL.MA.IN,4579637,4659605,4754582,4855903,4925263
Italy,ITA,"Population, male",SP.POP.TOTL.MA.IN,28998396,28862431,28813924,28815309,28733958
Jamaica,JAM,"Population, male",SP.POP.TOTL.MA.IN,1401936,1404823,1404988,1404742,1403966
Japan,JPN,"Population, male",SP.POP.TOTL.MA.IN,61682937,61380214,61088674,60771087,60381253
Jordan,JOR,"Population, male",SP.POP.TOTL.MA.IN,5618293,5718054,5812290,5903251,5957377
Kazakhstan,KAZ,"Population, male",SP.POP.TOTL.MA.IN,9452899,9601078,9748452,9897043,10029906
Kenya,KEN,"Population, male",SP.POP.TOTL.MA.IN,25983597,26473100,26980543,27517012,28056072
Kiribati,KIR,"Population, male",SP.POP.TOTL.MA.IN,60859,62041,63132,64231,65279
"Korea, Dem. People's Rep.",PRK,"Population, male",SP.POP.TOTL.MA.IN,12885558,12942570,13002441,13058006,13108717
"Korea, Rep.",KOR,"Population, male",SP.POP.TOTL.MA.IN,25892321,25836875,25785791,25813829,25772999
Kosovo,XKX,"Population, male",SP.POP.TOTL.MA.IN,880833,878702,869746,863921,858022
Kuwait,KWT,"Population, male",SP.POP.TOTL.MA.IN,2681545,2645375,2802181,2968226,3028103
Kyrgyz Republic,KGZ,"Population, male",SP.POP.TOTL.MA.IN,3329323,3389069,3449173,3510290,3564902
Lao PDR,LAO,"Population, male",SP.POP.TOTL.MA.IN,3693722,3746469,3799149,3851871,3904034
Latvia,LVA,"Population, male",SP.POP.TOTL.MA.IN,877942,871380,869801,869612,862991
Lebanon,LBN,"Population, male",SP.POP.TOTL.MA.IN,2770020,2777715,2791093,2806602,2823634
Lesotho,LSO,"Population, male",SP.POP.TOTL.MA.IN,1087804,1100677,1112982,1125727,1138892
Liberia,LBR,"Population, male",SP.POP.TOTL.MA.IN,2567665,2623166,2680814,2741343,2801892
Libya,LBY,"Population, male",SP.POP.TOTL.MA.IN,3587984,3630945,3673880,3714641,3752970
Liechtenstein,LIE,"Population, male",SP.POP.TOTL.MA.IN,19300,19445,19607,19792,19935
Lithuania,LTU,"Population, male",SP.POP.TOTL.MA.IN,1308712,1316573,1333125,1354049,1347713
Luxembourg,LUX,"Population, male",SP.POP.TOTL.MA.IN,317216,322269,328782,335347,339266
"Macao SAR, China",MAC,"Population, male",SP.POP.TOTL.MA.IN,318480,316373,313254,313119,309476
Madagascar,MDG,"Population, male",SP.POP.TOTL.MA.IN,14523992,14893095,15266903,15646930,16032529
Malawi,MWI,"Population, male",SP.POP.TOTL.MA.IN,9522275,9774487,10030976,10295096,10567044
Malaysia,MYS,"Population, male",SP.POP.TOTL.MA.IN,17821824,18008669,18204478,18410069,18617794
Maldives,MDV,"Population, male",SP.POP.TOTL.MA.IN,309481,320476,326186,326618,326805
Mali,MLI,"Population, male",SP.POP.TOTL.MA.IN,10960973,11300445,11644587,11994667,12350772
Malta,MLT,"Population, male",SP.POP.TOTL.MA.IN,266862,269221,275913,286837,290090
Marshall Islands,MHL,"Population, male",SP.POP.TOTL.MA.IN,21876,21193,20539,19903,19237
Mauritania,MRT,"Population, male",SP.POP.TOTL.MA.IN,2250118,2317615,2388274,2461966,2535726
Mauritius,MUS,"Population, male",SP.POP.TOTL.MA.IN,635144,634944,632186,630308,628460
Mexico,MEX,"Population, male",SP.POP.TOTL.MA.IN,61635476,61979793,62401721,62926132,63459580
"Micronesia, Fed. Sts.",FSM,"Population, male",SP.POP.TOTL.MA.IN,55187,55517,55739,55975,56217
Moldova,MDA,"Population, male",SP.POP.TOTL.MA.IN,1215366,1195953,1164180,1131190,1115270
Monaco,MCO,"Population, male",SP.POP.TOTL.MA.IN,18624,18875,19072,19069,18900
Mongolia,MNG,"Population, male",SP.POP.TOTL.MA.IN,1664145,1690954,1714580,1736814,1757460
Montenegro,MNE,"Population, male",SP.POP.TOTL.MA.IN,299143,297964,296958,296508,295642
Morocco,MAR,"Population, male",SP.POP.TOTL.MA.IN,18471768,18653397,18837517,19023229,19202022
Mozambique,MOZ,"Population, male",SP.POP.TOTL.MA.IN,14896433,15354329,15823809,16307299,16802082
Myanmar,MMR,"Population, male",SP.POP.TOTL.MA.IN,26431199,26606252,26779327,26956235,27128841
Namibia,NAM,"Population, male",SP.POP.TOTL.MA.IN,1330536,1371399,1410918,1447110,1479806
Nauru,NRU,"Population, male",SP.POP.TOTL.MA.IN,5940,5964,6010,6048,6083
Nepal,NPL,"Population, male",SP.POP.TOTL.MA.IN,13942564,14240049,14345261,14279233,14200276
Netherlands,NLD,"Population, male",SP.POP.TOTL.MA.IN,8654519,8702691,8789000,8879266,8940138
New Caledonia,NCL,"Population, male",SP.POP.TOTL.MA.IN,140422,140756,141591,142962,144353
New Zealand,NZL,"Population, male",SP.POP.TOTL.MA.IN,2526832,2537464,2541107,2594480,2613937
Nicaragua,NIC,"Population, male",SP.POP.TOTL.MA.IN,3227997,3266527,3309012,3355587,3401957
Niger,NER,"Population, male",SP.POP.TOTL.MA.IN,12041757,12439986,12851424,13282161,13725328
Nigeria,NGA,"Population, male",SP.POP.TOTL.MA.IN,108098757,110418029,112784704,115206932,117673771
North Macedonia,MKD,"Population, male",SP.POP.TOTL.MA.IN,904013,893711,890868,888945,884832
Northern Mariana Islands,MNP,"Population, male",SP.POP.TOTL.MA.IN,24987,24717,24266,23798,23379
Norway,NOR,"Population, male",SP.POP.TOTL.MA.IN,2712887,2728311,2751427,2781137,2807677
Oman,OMN,"Population, male",SP.POP.TOTL.MA.IN,2808741,2750964,2911700,3134491,3285829
Pakistan,PAK,"Population, male",SP.POP.TOTL.MA.IN,119954020,122119349,124068400,125731249,127433406
Palau,PLW,"Population, male",SP.POP.TOTL.MA.IN,9616,9601,9579,9555,9530
Panama,PAN,"Population, male",SP.POP.TOTL.MA.IN,2148782,2174004,2201198,2229872,2258004
Papua New Guinea,PNG,"Population, male",SP.POP.TOTL.MA.IN,5067943,5164383,5257153,5347981,5439223
Paraguay,PRY,"Population, male",SP.POP.TOTL.MA.IN,3316874,3355140,3391532,3432398,3474116
Peru,PER,"Population, male",SP.POP.TOTL.MA.IN,16356574,16498081,16651798,16835443,17017564
Philippines,PHL,"Population, male",SP.POP.TOTL.MA.IN,55905489,56419691,56849247,57310817,57784107
